InputID,Traveller_ID,Photography,Travel_Year,Travel_month,month,rating
52001,2483,"No photography",2017,4,April,5
52002,4156,"No photography",2017,4,April,5
52003,8829,"No photography",2017,3,March,4
52004,2641,"No photography",2017,3,March,4
52005,8830,"No photography",2017,2,February,3
52006,2515,photography,2016,1,January,5
52007,4603,"No photography",2015,11,November,5
52008,8831,"No photography",2016,1,January,4
52009,3061,"No photography",2016,1,January,4
52010,3353,"No photography",2015,12,December,4
52011,6749,"No photography",2015,10,October,5
52012,8832,"No photography",2015,9,September,4
52013,6899,"No photography",2015,8,August,2
52014,507,"No photography",2015,4,April,4
52015,8833,"No photography",2015,7,July,3
52016,8834,photography,2016,7,July,5
52017,8835,photography,2016,6,June,5
52018,8836,"No photography",2016,6,June,5
52019,4390,"No photography",2016,4,April,3
52020,4530,photography,2016,5,May,5
52021,8762,"No photography",2016,5,May,2
52022,8837,"No photography",2016,3,March,5
52023,8838,"No photography",2016,3,March,5
52024,8839,"No photography",2016,1,January,4
52025,8840,"No photography",2016,2,February,4
52026,8841,"No photography",2016,3,March,4
52027,1204,photography,2019,11,November,5
52028,2375,"No photography",2019,3,March,3
52029,808,"No photography",2019,3,March,4
52030,6055,"No photography",2019,1,January,4
52031,2061,"No photography",2018,11,November,3
52032,374,"No photography",2018,9,September,5
52033,590,"No photography",2018,4,April,1
52034,2349,"No photography",2018,4,April,4
52035,595,"No photography",2018,4,April,4
52036,8842,"No photography",2017,11,November,3
52037,2126,"No photography",2018,2,February,1
52038,1092,"No photography",2018,1,January,4
52039,5538,"No photography",2017,2,February,1
52040,8843,"No photography",2016,12,December,4
52041,8552,"No photography",2016,12,December,4
52042,2490,"No photography",2016,9,September,4
52043,8844,"No photography",2016,12,December,3
52044,4551,"No photography",2016,12,December,4
52045,4177,"No photography",2015,12,December,3
52046,8845,"No photography",2016,8,August,5
52047,4560,"No photography",2015,11,November,5
52048,8846,"No photography",2016,9,September,4
52049,5527,photography,2016,8,August,4
52050,4569,photography,2016,4,April,5
52051,7430,"No photography",2015,6,June,3
52052,6879,"No photography",2015,7,July,5
52053,8847,"No photography",2015,2,February,4
52054,3372,"No photography",2015,4,April,5
52055,8848,"No photography",2015,3,March,4
52056,8849,"No photography",2015,2,February,4
52057,8850,"No photography",2015,2,February,5
52058,3423,"No photography",2014,10,October,5
52059,8851,"No photography",2014,7,July,4
52060,8852,photography,2014,5,May,5
52061,8853,"No photography",2014,5,May,3
52062,8854,"No photography",2014,4,April,3
52063,1111,"No photography",2014,2,February,4
52064,8855,photography,2014,3,March,4
52065,8856,"No photography",2013,12,December,5
52066,8857,"No photography",2013,8,August,3
52067,1156,photography,2023,4,April,5
52068,8858,"No photography",2022,10,October,5
52069,5834,photography,2022,2,February,5
52070,8859,photography,2021,12,December,5
52071,3708,photography,2021,9,September,5
52072,8860,"No photography",2020,3,March,5
52073,8861,photography,2020,1,January,5
52074,660,"No photography",2020,1,January,5
52075,1257,"No photography",2019,12,December,4
52076,5571,"No photography",2020,1,January,5
52077,6754,photography,2020,1,January,5
52078,655,"No photography",2019,12,December,5
52079,8862,photography,2019,11,November,5
52080,8863,"No photography",2019,10,October,5
52081,2140,"No photography",2019,8,August,5
52082,8864,"No photography",2019,8,August,5
52083,8865,"No photography",2019,8,August,5
52084,8866,"No photography",2019,7,July,5
52085,1549,"No photography",2019,6,June,5
52086,1320,"No photography",2019,3,March,4
52087,8867,"No photography",2019,6,June,5
52088,8868,"No photography",2019,4,April,4
52089,8869,"No photography",2019,4,April,5
52090,5452,"No photography",2019,4,April,5
52091,1217,"No photography",2018,11,November,5
52092,608,"No photography",2019,3,March,5
52093,8870,"No photography",2019,4,April,5
52094,242,"No photography",2019,3,March,4
52095,1245,"No photography",2019,3,March,5
52096,3505,"No photography",2019,3,March,4
52097,3674,"No photography",2019,3,March,5
52098,2014,"No photography",2019,3,March,5
52099,8871,"No photography",2019,2,February,5
52100,4004,"No photography",2019,3,March,5
52101,3682,"No photography",2019,2,February,4
52102,8872,photography,2018,12,December,5
52103,8873,"No photography",2018,7,July,5
52104,2096,"No photography",2018,4,April,4
52105,8874,"No photography",2018,3,March,5
52106,2392,"No photography",2018,1,January,4
52107,1457,"No photography",2018,1,January,4
52108,2052,"No photography",2017,12,December,4
52109,8875,"No photography",2017,8,August,3
52110,8876,"No photography",2017,4,April,5
52111,4241,"No photography",2017,3,March,5
52112,1457,"No photography",2017,1,January,4
52113,8877,"No photography",2016,11,November,4
52114,8878,"No photography",2016,11,November,5
52115,2349,"No photography",2015,12,December,4
52116,4560,"No photography",2015,11,November,5
52117,2232,photography,2016,9,September,4
52118,7533,photography,2016,7,July,4
52119,3043,photography,2016,3,March,4
52120,8879,"No photography",2016,2,February,3
52121,4303,"No photography",2015,12,December,5
52122,8880,"No photography",2015,12,December,4
52123,3067,"No photography",2015,9,September,3
52124,8881,"No photography",2018,12,December,5
52125,8882,photography,2018,10,October,4
52126,19,"No photography",2018,3,March,4
52127,8883,"No photography",2017,11,November,5
52128,8884,"No photography",2018,8,August,5
52129,8885,"No photography",2018,8,August,5
52130,2860,"No photography",2018,8,August,5
52131,1384,"No photography",2017,9,September,4
52132,8886,"No photography",2018,8,August,5
52133,6768,"No photography",2018,8,August,5
52134,1649,"No photography",2018,8,August,2
52135,8887,"No photography",2018,7,July,5
52136,7943,"No photography",2018,7,July,4
52137,8888,photography,2018,7,July,4
52138,8889,"No photography",2018,7,July,5
52139,8890,"No photography",2012,7,July,4
52140,8891,"No photography",2012,4,April,3
52141,8892,"No photography",2011,3,March,4
52142,8893,photography,2015,9,September,5
52143,3083,"No photography",2015,1,January,3
52144,8894,"No photography",2015,7,July,4
52145,8895,"No photography",2015,2,February,5
52146,5583,"No photography",2014,12,December,4
52147,1457,"No photography",2015,1,January,4
52148,8896,"No photography",2014,4,April,5
52149,8897,"No photography",2013,12,December,5
52150,8898,"No photography",2013,8,August,3
52151,8899,"No photography",2013,7,July,3
52152,8900,"No photography",2013,5,May,5
52153,5170,"No photography",2019,2,February,4
52154,8901,"No photography",2019,4,April,5
52155,1328,"No photography",2019,4,April,4
52156,3201,photography,2019,4,April,4
52157,8902,"No photography",2019,3,March,5
52158,7234,"No photography",2019,3,March,5
52159,2014,"No photography",2019,3,March,2
52160,7479,"No photography",2019,1,January,4
52161,3988,"No photography",2019,3,March,5
52162,2015,"No photography",2019,3,March,5
52163,4940,"No photography",2019,2,February,4
52164,1279,"No photography",2019,2,February,3
52165,4007,photography,2019,2,February,5
52166,4014,"No photography",2019,1,January,4
52167,4015,"No photography",2019,1,January,5
52168,309,"No photography",2018,12,December,4
52169,1683,"No photography",2023,4,April,4
52170,2439,photography,2022,12,December,3
52171,8903,"No photography",2023,3,March,5
52172,8904,"No photography",2021,12,December,5
52173,4804,"No photography",2020,3,March,5
52174,4455,"No photography",2020,2,February,5
52175,1155,"No photography",2020,2,February,4
52176,5215,"No photography",2020,2,February,5
52177,1980,"No photography",2020,3,March,4
52178,1982,"No photography",2019,12,December,5
52179,8905,"No photography",2019,10,October,4
52180,1346,"No photography",2020,1,January,4
52181,8906,photography,2019,3,March,4
52182,423,"No photography",2020,1,January,4
52183,2023,"No photography",2019,12,December,3
52184,2030,"No photography",2019,12,December,4
52185,4975,"No photography",2019,9,September,5
52186,1017,"No photography",2019,9,September,5
52187,3973,"No photography",2019,9,September,5
52188,8907,"No photography",2019,9,September,5
52189,1018,"No photography",2019,7,July,4
52190,5438,"No photography",2019,7,July,5
52191,1549,"No photography",2019,6,June,4
52192,3199,photography,2019,7,July,3
52193,3228,"No photography",2018,7,July,4
52194,1660,photography,2018,3,March,3
52195,8908,"No photography",2018,6,June,3
52196,2087,"No photography",2018,6,June,4
52197,2762,"No photography",2018,4,April,3
52198,2152,"No photography",2018,5,May,4
52199,4108,"No photography",2018,5,May,4
52200,5009,"No photography",2018,3,March,5
52201,8909,"No photography",2018,4,April,3
52202,4115,"No photography",2018,4,April,5
52203,8910,"No photography",2018,4,April,5
52204,1423,"No photography",2018,3,March,5
52205,2111,"No photography",2018,3,March,2
52206,2244,"No photography",2018,12,December,4
52207,2342,photography,2019,1,January,5
52208,3208,"No photography",2018,12,December,4
52209,2178,"No photography",2018,12,December,5
52210,4172,"No photography",2018,12,December,5
52211,8911,"No photography",2018,12,December,5
52212,4963,photography,2018,11,November,4
52213,2752,"No photography",2018,12,December,3
52214,8912,"No photography",2018,12,December,5
52215,2256,"No photography",2018,11,November,5
52216,2163,"No photography",2018,11,November,5
52217,1373,"No photography",2018,8,August,3
52218,4028,"No photography",2018,9,September,4
52219,8913,"No photography",2018,10,October,3
52220,8914,"No photography",2018,9,September,5
52221,4032,"No photography",2018,10,October,5
52222,2613,"No photography",2018,9,September,5
52223,372,"No photography",2018,9,September,5
52224,1705,"No photography",2018,9,September,5
52225,8915,"No photography",2018,9,September,5
52226,4019,"No photography",2018,8,August,5
52227,1904,"No photography",2018,8,August,5
52228,322,"No photography",2018,8,August,4
52229,2359,"No photography",2018,7,July,3
52230,5006,"No photography",2018,7,July,4
52231,8916,"No photography",2018,7,July,4
52232,2465,"No photography",2018,3,March,3
52233,5030,"No photography",2018,2,February,4
52234,8917,photography,2018,2,February,5
52235,2817,photography,2018,2,February,4
52236,8918,"No photography",2018,2,February,5
52237,5034,"No photography",2018,2,February,5
52238,4045,"No photography",2018,1,January,4
52239,8919,photography,2017,9,September,4
52240,3008,"No photography",2018,1,January,4
52241,8920,"No photography",2017,12,December,5
52242,8921,"No photography",2017,12,December,4
52243,2951,"No photography",2017,12,December,5
52244,8922,"No photography",2017,12,December,5
52245,2954,"No photography",2017,12,December,4
52246,4082,"No photography",2017,11,November,4
52247,4491,"No photography",2017,11,November,4
52248,7309,photography,2017,11,November,4
52249,5043,"No photography",2017,11,November,4
52250,8923,"No photography",2017,10,October,4
52251,4087,"No photography",2017,9,September,4
52252,8924,photography,2017,9,September,2
52253,1748,"No photography",2017,8,August,5
52254,4139,"No photography",2017,4,April,5
52255,2420,"No photography",2017,7,July,5
52256,8925,"No photography",2017,7,July,4
52257,4117,"No photography",2017,3,March,5
52258,8926,"No photography",2017,2,February,3
52259,8508,photography,2017,2,February,5
52260,8927,"No photography",2017,1,January,4
52261,8928,"No photography",2017,1,January,4
52262,4509,"No photography",2016,12,December,4
52263,3324,"No photography",2016,12,December,3
52264,8929,"No photography",2016,11,November,5
52265,8930,"No photography",2016,10,October,4
52266,8931,"No photography",2016,9,September,4
52267,1006,photography,2016,9,September,3
52268,8932,"No photography",2016,9,September,4
52269,2695,"No photography",2016,3,March,3
52270,4183,photography,2016,7,July,5
52271,8420,photography,2016,9,September,4
52272,6089,"No photography",2016,9,September,4
52273,8933,"No photography",2016,9,September,3
52274,3305,"No photography",2016,9,September,4
52275,4569,"No photography",2016,6,June,5
52276,8934,"No photography",2016,8,August,3
52277,8935,"No photography",2016,8,August,5
52278,5530,"No photography",2016,8,August,3
52279,8936,photography,2016,8,August,5
52280,263,photography,2016,5,May,4
52281,3083,"No photography",2016,8,August,4
